,beds,baths,size,zip_code,price,price_per_sqft
253,2,1.5,1200.0,98107,730000.0,60833333.333333336
254,5,2.5,2280.0,98168,680000.0,29824561.40350877
255,4,2.5,2750.0,98122,849995.0,30908909.09090909
256,3,1.5,1650.0,98122,790000.0,47878787.878787875
257,3,2.5,1546.0,98106,720000.0,46571798.18887451
258,1,1.0,757.0,98109,432500.0,57133421.4002642
259,5,3.5,4385.0,98103,3100000.0,70695553.02166477
260,4,2.0,2868.0,98103,1550000.0,54044630.40446304
261,2,2.0,1280.0,98136,875000.0,68359375.0
262,3,2.0,1279.0,98118,699000.0,54652071.93119625
263,4,2.0,2278.0,98117,1550000.0,68042142.23002633
264,1,1.0,376.0,98199,1000000.0,265957446.80851063
265,3,2.0,1496.0,98144,843000.0,56350267.37967914
266,4,1.0,2520.0,98115,875000.0,34722222.222222224
267,2,2.0,795.0,98102,550000.0,69182389.93710692
268,3,3.0,2502.0,98117,995000.0,39768185.45163869
269,5,5.0,2920.0,98105,1625000.0,55650684.93150685
270,2,2.0,1130.0,98119,775000.0,68584070.79646018
271,2,2.0,1310.0,98122,815000.0,62213740.45801527
272,5,4.5,4060.0,98117,2095000.0,51600985.221674874
273,4,3.5,4460.0,98177,2550000.0,57174887.89237668
274,4,2.0,2350.0,98118,715000.0,30425531.914893616
275,2,3.0,1230.0,98144,619990.0,50405691.05691057
276,4,2.5,2420.0,98117,1310000.0,54132231.40495868
277,2,2.0,1570.0,98136,760000.0,48407643.31210191
278,1,1.0,608.0,98121,423000.0,69572368.42105263
279,3,1.0,1950.0,98103,925000.0,47435897.43589743
280,4,5.5,4670.0,98144,3175000.0,67987152.03426124
281,1,1.0,647.0,98122,485000.0,74961360.1236476
282,3,2.0,1140.0,98136,780000.0,68421052.63157895
283,3,3.0,2240.0,98117,650000.0,29017857.14285714
284,2,2.0,1061.0,98125,380000.0,35815268.61451461
285,4,3.0,1991.0,98102,1050000.0,52737317.9306881
286,3,2.5,1940.0,98116,1172000.0,60412371.13402062
287,2,1.5,2340.0,98199,1025000.0,43803418.8034188
288,4,5.0,1870.0,98146,700000.0,37433155.080213904
289,1,1.0,707.0,98133,335000.0,47383309.75954738
290,2,2.5,1114.0,98122,850000.0,76301615.7989228
291,5,3.0,3540.0,98115,1185000.0,33474576.27118644
292,4,2.0,2610.0,98117,875000.0,33524904.214559387
293,2,2.0,1250.0,98115,850000.0,68000000.0
294,3,2.0,1920.0,98126,980000.0,51041666.666666664
295,3,2.5,1540.0,98103,875000.0,56818181.81818182
296,3,2.0,1460.0,98117,823000.0,56369863.01369863
297,2,2.0,1223.0,98199,787950.0,64427636.958299264
298,3,2.5,2450.0,98126,1080000.0,44081632.653061226
299,1,1.0,702.0,98116,426000.0,60683760.68376068
300,5,3.0,2170.0,98106,765000.0,35253456.22119816
301,2,1.0,1040.0,98103,875000.0,84134615.38461539
302,4,2.0,1670.0,98125,960000.0,57485029.94011976
303,4,3.0,2140.0,98126,805000.0,37616822.42990654
304,3,2.5,1650.0,98103,975000.0,59090909.09090909
305,2,1.5,735.0,98103,353500.0,48095238.0952381
306,4,3.5,3210.0,98136,1750000.0,54517133.95638629
307,4,1.0,2920.0,98107,899888.0,30818082.19178082
308,4,4.0,1240.0,98125,750000.0,60483870.96774194
309,4,2.5,2030.0,98144,1025000.0,50492610.83743843
310,2,1.0,1480.0,98118,675000.0,45608108.10810811
311,2,2.0,933.0,98112,865000.0,92711682.74383709
312,1,1.0,777.0,98146,244950.0,31525096.525096525
313,5,3.0,2869.0,98125,967000.0,33705123.73649355
314,3,2.0,1700.0,98126,835000.0,49117647.058823526
315,2,2.0,1024.0,98115,510000.0,49804687.5
316,3,2.5,1550.0,98102,840000.0,54193548.38709678
317,5,2.5,2460.0,98125,755000.0,30691056.910569105
318,2,2.0,1170.0,98122,774950.0,66235042.735042736
319,2,1.0,900.0,98199,750000.0,83333333.33333333
320,3,2.5,1210.0,98108,565000.0,46694214.87603306
321,4,3.0,3140.0,98144,1750000.0,55732484.07643312
322,2,1.0,798.0,98109,370000.0,46365914.78696742
323,2,2.5,1134.0,98118,520000.0,45855379.18871252
324,2,2.5,1954.0,98119,1475000.0,75486182.19037871
325,3,3.5,2946.0,98102,6250000.0,212152070.6042091
326,1,1.5,1244.0,98164,970000.0,77974276.52733119
327,3,3.0,1710.0,98133,659000.0,38538011.69590643
328,3,2.5,1440.0,98117,750000.0,52083333.333333336
329,3,3.5,1790.0,98144,1027000.0,57374301.675977655
330,3,2.0,2550.0,98178,650000.0,25490196.07843137
331,2,2.0,1940.0,98116,1505000.0,77577319.58762887
332,5,2.0,3080.0,98126,772500.0,25081168.83116883
333,3,2.0,1561.0,98125,670000.0,42921204.356181934
334,2,2.0,1316.0,98101,899000.0,68313069.9088146
335,4,2.5,2610.0,98112,1715000.0,65708812.260536395
336,3,1.0,960.0,98117,850000.0,88541666.66666667
337,3,3.0,2280.0,98117,1150000.0,50438596.491228074
338,2,2.0,1930.0,98144,900000.0,46632124.35233161
339,2,2.0,1125.0,98115,424950.0,37773333.333333336
340,3,2.0,1699.0,98121,1299000.0,76456739.25838728
341,1,1.0,730.0,98115,330000.0,45205479.45205479
342,7,5.0,4190.0,98115,1513000.0,36109785.20286396
343,2,2.0,1170.0,98103,600000.0,51282051.28205128
344,3,1.0,1935.0,98103,895000.0,46253229.97416021
345,3,2.5,1550.0,98122,1090000.0,70322580.64516129
346,3,2.5,1290.0,98108,585000.0,45348837.20930233
347,2,2.0,1202.0,98109,790000.0,65723793.67720466
348,3,2.5,2420.0,98103,1048000.0,43305785.12396694
349,4,4.5,2190.0,98122,1499950.0,68490867.57990867
350,3,2.0,1850.0,98178,627000.0,33891891.89189189
351,2,1.0,970.0,98125,397500.0,40979381.443298966
352,2,1.5,918.0,98104,550000.0,59912854.03050109
353,2,2.0,1080.0,98106,499950.0,46291666.666666664
354,1,1.0,831.0,98115,415000.0,49939831.528279185
355,4,2.0,2140.0,98118,825000.0,38551401.86915888
356,3,2.0,1481.0,98103,1040000.0,70222822.41728562
357,4,4.0,2630.0,98112,2600000.0,98859315.5893536
358,4,2.0,1920.0,98118,670000.0,34895833.333333336
359,3,2.5,1870.0,98125,700000.0,37433155.080213904
360,5,2.0,2260.0,98168,530000.0,23451327.433628317
361,3,1.0,1210.0,98106,615000.0,50826446.28099173
362,3,1.0,3000.0,98108,706000.0,23533333.333333332
363,3,3.0,1560.0,98106,699950.0,44868589.743589744
364,1,1.0,684.0,98121,693000.0,101315789.4736842
365,1,1.0,565.0,98115,297500.0,52654867.25663717
366,2,2.0,2880.0,98103,1095000.0,38020833.333333336
367,3,1.0,1240.0,98125,675000.0,54435483.87096774
368,3,2.5,1468.0,98103,809950.0,55173705.72207084
369,4,3.5,2500.0,98103,1104000.0,44160000.0
370,3,3.0,2360.0,98115,1210000.0,51271186.44067796
371,6,4.5,3480.0,98117,2550000.0,73275862.06896552
372,4,3.5,2199.0,98117,1560000.0,70941336.97135061
373,3,2.0,1730.0,98168,386000.0,22312138.728323698
374,3,1.5,2516.0,98119,1020000.0,40540540.54054054
375,4,4.0,4935.0,98125,1495000.0,30293819.655521784
376,2,2.0,1168.0,98144,639999.0,54794434.93150685
377,3,2.5,1604.0,98144,769999.0,48004925.18703242
378,3,2.5,1786.0,98103,970000.0,54311310.19036954
379,2,2.0,1174.0,98109,785000.0,66865417.37649063
380,2,1.0,1180.0,98122,934050.0,79156779.66101696
381,2,2.0,770.0,98103,170000.0,22077922.07792208
382,4,2.5,2410.0,98105,2000000.0,82987551.86721991
383,3,1.5,1920.0,98199,975000.0,50781250.0
384,4,2.5,2610.0,98117,1160000.0,44444444.44444445
385,4,2.5,2680.0,98199,1800000.0,67164179.10447761
386,2,2.0,1710.0,98125,710000.0,41520467.83625731
387,4,3.0,2240.0,98178,840000.0,37500000.0
388,4,3.5,3500.0,98199,2000000.0,57142857.14285714
389,3,2.0,1703.0,98117,943000.0,55372871.403405756
390,3,2.0,2600.0,98177,1195000.0,45961538.461538464
391,3,2.0,1200.0,98107,685000.0,57083333.333333336
392,1,1.0,696.0,98122,449000.0,64511494.25287356
393,3,1.0,840.0,98125,610000.0,72619047.61904761
394,4,2.0,2570.0,98119,1550000.0,60311284.04669261
395,4,3.0,2480.0,98117,1270000.0,51209677.41935484
396,4,3.5,2054.0,98103,1165000.0,56718597.85783836
397,4,2.5,1830.0,98125,1050000.0,57377049.18032787
398,5,3.5,2750.0,98112,2450000.0,89090909.0909091
399,3,1.0,1200.0,98125,2100000.0,175000000.0
400,4,3.0,2280.0,98117,1275000.0,55921052.631578945
401,2,3.0,1660.0,98112,1300000.0,78313253.0120482
402,4,2.5,3470.0,98102,1100000.0,31700288.18443804
403,2,2.0,867.0,98115,689000.0,79469434.83275664
404,1,1.5,801.0,98109,500000.0,62421972.53433208
405,1,1.0,501.0,98122,386000.0,77045908.18363273
406,4,3.5,2840.0,98178,720000.0,25352112.676056337
407,3,3.0,2010.0,98115,925000.0,46019900.49751244
408,2,2.0,1252.0,98121,1525000.0,121805111.82108626
409,1,1.0,721.0,98101,389000.0,53952843.273231626
410,3,2.0,1460.0,98115,731250.0,50085616.43835616
411,3,2.5,1107.0,98103,877500.0,79268292.68292683
412,4,1.0,1400.0,98117,1025000.0,73214285.71428572
413,2,1.0,1437.0,98125,700000.0,48712595.685455814
414,3,3.0,3004.0,98112,1450000.0,48268974.700399466
415,1,1.0,700.0,98102,410000.0,58571428.571428575
416,2,2.0,1122.0,98119,565000.0,50356506.23885918
417,4,1.5,2344.0,98109,1222000.0,52133105.80204778
418,4,3.0,2960.0,98108,970000.0,32770270.27027027
419,2,2.0,1063.0,98109,755000.0,71025399.81185324
420,1,1.0,674.0,98122,465000.0,68991097.92284867
421,4,3.5,2510.0,98103,1625000.0,64741035.85657371
422,2,1.0,680.0,98106,510000.0,75000000.0
423,2,2.0,1450.0,98117,1050000.0,72413793.10344827
424,1,3.0,934.0,98119,525000.0,56209850.10706638
425,5,3.0,2400.0,98118,745000.0,31041666.666666668
426,3,2.5,2740.0,98108,489000.0,17846715.328467153
427,5,2.0,2000.0,98105,1075000.0,53750000.0
428,2,2.0,1799.0,98117,755000.0,41967759.86659255
429,3,2.0,1740.0,98199,1425000.0,81896551.72413793
430,3,1.5,2370.0,98115,927000.0,39113924.05063291
431,4,3.5,3780.0,98115,1875000.0,49603174.603174604
432,2,1.5,755.0,98101,500000.0,66225165.56291391
433,1,1.0,764.0,98105,510000.0,66753926.70157068
434,3,3.0,2910.0,98125,1249900.0,42951890.03436426
435,3,3.0,1419.0,98122,861955.0,60743833.68569415
436,4,2.0,2800.0,98178,675000.0,24107142.85714286
437,3,1.5,1510.0,98133,725000.0,48013245.033112586
438,3,2.5,1520.0,98107,975000.0,64144736.84210526
439,3,2.5,1570.0,98102,955000.0,60828025.477707006
440,2,2.0,1028.0,98103,700000.0,68093385.21400778
441,3,2.0,1660.0,98106,805000.0,48493975.90361446
442,5,3.5,3153.0,98177,2266000.0,71868062.16301934
443,2,1.0,875.0,98117,750000.0,85714285.71428572
444,3,2.5,1800.0,98108,655000.0,36388888.88888889
445,3,2.5,1510.0,98136,880000.0,58278145.69536424
446,2,2.0,1220.0,98178,585000.0,47950819.67213115
447,3,2.5,1630.0,98107,1060000.0,65030674.84662577
448,3,3.5,1319.0,98119,875000.0,66338134.95072024
449,3,2.5,2695.0,98115,1345000.0,49907235.62152134
450,3,4.0,3410.0,98125,1702619.0,49930175.95307918
451,2,2.5,2094.0,98102,1500000.0,71633237.82234956
452,4,3.5,2380.0,98106,830000.0,34873949.579831935
453,3,3.5,2938.0,98136,1350000.0,45949625.5956433
454,2,1.5,1293.0,98115,779950.0,60320959.01005414
455,3,2.0,2730.0,98117,1150000.0,42124542.124542125
456,2,1.0,1120.0,98102,1350000.0,120535714.28571428
457,3,1.0,1280.0,98199,875000.0,68359375.0
458,3,2.5,2350.0,98115,1625000.0,69148936.17021276
459,1,1.0,692.0,98122,499950.0,72247109.8265896
460,3,1.5,1350.0,98126,665000.0,49259259.25925926
461,4,4.0,2895.0,98119,2206500.0,76217616.58031088
462,4,3.5,4420.0,98199,2350000.0,53167420.81447964
463,4,2.0,1740.0,98103,950000.0,54597701.14942529
464,1,1.0,547.0,98125,264000.0,48263254.11334552
465,3,2.0,1200.0,98178,624950.0,52079166.666666664
466,3,2.0,1410.0,98115,1035000.0,73404255.31914894
467,3,1.0,1290.0,98178,412000.0,31937984.49612403
468,5,4.5,2920.0,98106,1000000.0,34246575.34246575
469,5,3.0,2310.0,98118,680000.0,29437229.437229436
470,3,2.5,1810.0,98125,899000.0,49668508.287292816
471,4,1.5,1410.0,98133,827500.0,58687943.26241135
472,3,2.0,1800.0,98178,575000.0,31944444.444444444
473,4,3.0,2860.0,98117,1165000.0,40734265.73426574
474,2,2.0,2680.0,98126,749950.0,27983208.95522388
475,4,2.0,1860.0,98103,1350000.0,72580645.16129032
476,3,2.0,1340.0,98117,985000.0,73507462.68656716
477,3,1.0,1110.0,98117,505000.0,45495495.4954955
478,4,3.0,2527.0,98122,1375000.0,54412346.65611397
479,2,2.5,1057.0,98102,650000.0,61494796.594134346
480,3,2.5,1054.0,98115,815000.0,77324478.17836812
481,4,6.5,3400.0,98122,1550000.0,45588235.294117644
482,4,3.0,2290.0,98146,685000.0,29912663.755458515
483,4,2.0,2260.0,98106,760000.0,33628318.584070794
484,3,3.0,2480.0,98146,1595000.0,64314516.12903226
485,3,1.0,1240.0,98146,220000.0,17741935.48387097
486,2,2.0,1036.0,98103,799950.0,77215250.96525097
487,2,1.0,1900.0,98119,1015000.0,53421052.631578945
488,4,2.5,1544.0,98117,975000.0,63147668.393782385
489,2,1.0,1160.0,98126,525000.0,45258620.68965517
490,3,3.0,1650.0,98178,591995.0,35878484.84848485
491,1,1.0,529.0,98103,367000.0,69376181.47448015
492,4,3.0,2310.0,98136,1100000.0,47619047.61904762
493,4,2.5,2880.0,98115,1900000.0,65972222.222222224
494,1,1.5,540.0,98118,750000.0,138888888.8888889
495,1,1.0,645.0,98115,515000.0,79844961.24031007
496,3,2.5,2275.0,98122,1528000.0,67164835.16483517
497,2,2.5,1250.0,98107,770000.0,61600000.0
498,5,3.5,5420.0,98112,4655625.0,85897140.22140221
499,2,1.5,1088.0,98117,628000.0,57720588.23529412
500,5,4.5,5580.0,98146,3800000.0,68100358.42293906
501,3,2.5,1390.0,98126,575000.0,41366906.474820144
502,3,2.5,2950.0,98118,3105000.0,105254237.28813559
503,5,5.0,3010.0,98115,1807000.0,60033222.591362126
504,3,2.0,1301.0,98103,895000.0,68793235.97232898
